Quantity,Category,Discount,Region,Segment,Ship Mode,State,Sub-Category,Sales
2,Furniture,0.0,South,Consumer,Second Class,Kentucky,Bookcases,261.96
3,Furniture,0.0,South,Consumer,Second Class,Kentucky,Chairs,731.94
2,Office Supplies,0.0,West,Corporate,Second Class,California,Labels,14.62
5,Furniture,0.45,South,Consumer,Standard Class,Florida,Tables,957.5775
2,Office Supplies,0.2,South,Consumer,Standard Class,Florida,Storage,22.368
7,Furniture,0.0,West,Consumer,Standard Class,California,Furnishings,48.86
4,Office Supplies,0.0,West,Consumer,Standard Class,California,Art,7.28
6,Technology,0.2,West,Consumer,Standard Class,California,Phones,907.152
3,Office Supplies,0.2,West,Consumer,Standard Class,California,Binders,18.504
5,Office Supplies,0.0,West,Consumer,Standard Class,California,Appliances,114.9
9,Furniture,0.2,West,Consumer,Standard Class,California,Tables,1706.184
4,Technology,0.2,West,Consumer,Standard Class,California,Phones,911.424
3,Office Supplies,0.2,South,Consumer,Standard Class,North Carolina,Paper,15.552
3,Office Supplies,0.2,West,Consumer,Standard Class,Washington,Binders,407.976
5,Office Supplies,0.8,Central,Home Office,Standard Class,Texas,Appliances,68.81
3,Office Supplies,0.8,Central,Home Office,Standard Class,Texas,Binders,2.544
6,Office Supplies,0.0,Central,Consumer,Standard Class,Wisconsin,Storage,665.88
2,Office Supplies,0.0,West,Consumer,Second Class,Utah,Storage,55.5
2,Office Supplies,0.0,West,Consumer,Second Class,California,Art,8.56
3,Technology,0.2,West,Consumer,Second Class,California,Phones,213.48
4,Office Supplies,0.2,West,Consumer,Second Class,California,Binders,22.72
7,Office Supplies,0.0,Central,Corporate,Standard Class,Nebraska,Art,19.46
7,Office Supplies,0.0,Central,Corporate,Standard Class,Nebraska,Appliances,60.34
2,Furniture,0.3,East,Consumer,Second Class,Pennsylvania,Chairs,71.372
3,Furniture,0.0,West,Consumer,Standard Class,Utah,Tables,1044.63
2,Office Supplies,0.2,West,Consumer,Second Class,California,Binders,11.648
3,Technology,0.0,West,Consumer,Second Class,California,Accessories,90.57
7,Furniture,0.5,East,Consumer,Standard Class,Pennsylvania,Bookcases,3083.43
2,Office Supplies,0.7,East,Consumer,Standard Class,Pennsylvania,Binders,9.618
